"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","765","testGetAllOrderServicesWithOrderStatus","rieaya Suite","Sun Aug 24 10:24:40 EEST 2025","passed","Sun Aug 24 10:24:41 EEST 2025","QueryTestOfOrders","test","QueryTestOfOrders","testGetAllOrderServicesWithOrderStatus"
"","350","testGetBranchById","rieaya Suite","Sun Aug 24 10:23:01 EEST 2025","passed","Sun Aug 24 10:23:01 EEST 2025","NewBranch","test","NewBranch","testGetBranchById"
"","301","testCreateTaxRate","rieaya Suite","Sun Aug 24 10:24:11 EEST 2025","passed","Sun Aug 24 10:24:11 EEST 2025","NewOrderService","test","NewOrderService","testCreateTaxRate"
"","580","testGetAllInvoices","rieaya Suite","Sun Aug 24 10:23:23 EEST 2025","passed","Sun Aug 24 10:23:23 EEST 2025","Invoices","test","Invoices","testGetAllInvoices"
"","423","testToggleActivation","rieaya Suite","Sun Aug 24 10:23:28 EEST 2025","passed","Sun Aug 24 10:23:28 EEST 2025","LaundryCities","test","LaundryCities","testToggleActivation"
"","555","testGetSpecificCollection","rieaya Suite","Sun Aug 24 10:22:53 EEST 2025","passed","Sun Aug 24 10:22:54 EEST 2025","AddingTests","test","AddingTests","testGetSpecificCollection"
"","464","testGetDiscountsByOrderBy","rieaya Suite","Sun Aug 24 10:23:09 EEST 2025","passed","Sun Aug 24 10:23:09 EEST 2025","DiscountOrAdditions","test","DiscountOrAdditions","testGetDiscountsByOrderBy"
"","339","Get All Areas","rieaya Suite","Sun Aug 24 10:22:57 EEST 2025","passed","Sun Aug 24 10:22:57 EEST 2025","AreaTests","test","AreaTests","testGetAllAreas"
"","810","testGetSpecificPrivilege","rieaya Suite","Sun Aug 24 10:24:21 EEST 2025","failed","Sun Aug 24 10:24:22 EEST 2025","Priviledge","test","Priviledge","testGetSpecificPrivilege"
"","382","testGetAllBranches","rieaya Suite","Sun Aug 24 10:23:01 EEST 2025","passed","Sun Aug 24 10:23:01 EEST 2025","NewBranch","test","NewBranch","testGetAllBranches"
"","358","Subscribe to a package","rieaya Suite","Sun Aug 24 10:24:44 EEST 2025","passed","Sun Aug 24 10:24:45 EEST 2025","PackageSubscriptionsTest","test","PackageSubscriptionsTest","testSubscribeToPackage"
